AAA TITLE,UTID,KEY,Class,Tempo,start,stop,Notes,Sing-a-long link
A Thousand Stars,5M6RzquIa6g,C,Pop,65,,,Check for a song link,rmVmBJxTolQ
A White Sport Coat,Gbsh_Tk8QMA,Db>D,Country,116,,,,
Abilene,8oOjBLvxlyg,E,Country,102,,,,
Alcohol,iNYfTgybcDI,B,Country,141,,,has Harmony,
Always On My Mind,n6l0gLA0vHw,D,Country,?,,,,
Amrillo By Morning,qggmydu9zho,D>E,Country,125,,,,
Angel from Mongomery,6H_VDZlUeE0,D,Country,72,,,"Lots of 'ad lib' thrown in, looking for another",
Bad Moon Rising,ayjDCxuufNc,D,Bayou-Rock,180,,,,
Blue Eyes Crying In The Rain,0JUxwEIL2Uk,E,Country,121,,,,
Blue Moon,JHzAr8NE5L0,Db,Blues,100,,,,
Blues in the Night,4Z5R0CcRDFI,Dm,Blues,68,,,,2lts6CjpRfM
Boot Scoot Boogie,oGFx8067dzc,E,Country-Boogie,?,,,,
Bring It On Home To Me,krBwE8jDgXw,G,Soul,82,,,,
Brown Eyed Girl,_weVXDzjskg,G,Pop-Rock,133,,,,
Bye Bye Love,PUYIflkSL98,A,Country-Rock,170,,,,
Cherokee Fiddle,fyR6boT8-i4,D,Country,153,,,,
City of New Orleans,HnkdEgd1jfE,G,Folk Rock,142,,,,
Cool Water,2oChVghK0LE,Bb,Country,?,,,Only half decent Karoke on Utube that has Lyrics,
Crazy,IuNiW8ZV3E8,Bb?,Country,75,,,Patsy Cline,
Crazy,b20h9XLke_I,C>Db,Country,75,,,Willie,
Delta Dawn,CIQJ4GfI8k4,Bb,Country,155,,,,
Dont Be Cruel,KUYiI-tGSkA,Db,Rock,160,,,,
Down Under,6mcyb8q9tFk,?,Australian ?,?,,,,
Early Morning Rain,BNNPoPXRmOY,G,Folk,193,,,,
Elvira,aUzq3KCE-AY,C>C#>D>D#,Country,?,,,Strong Harmonies can throw you,
Fire and Rain,4RjLHENCkrw,C,Folk-Ballad,?,,,,
Fire Lake,7upJYD8wVg4,A,Rock Ballad,125,,,,
Folsom Prison Blues,rw7LVKWEo4o,F,Country Blues,195,,,,
Four Strong Winds (Neil Young),uIB6wG2Wjvk,?,Folk,?,,,Starts with a verse instead of the chorus,DP9UjLeLN5A
Friends In Low Places,wDzfoQIa_ZY,?,Coutry,?,,,,
From Four Until Late,eVUzNt1IJZM,E,Blues,?,,,,
Garden Party,Iik8vZkc3T8,D,Easy Rock,?,,,,
Ghost Riders In The Sky,0p6G_9HCwH4,?,Country,?,,,,
Goodnight Irene,gLnUBuqQ-JU,?,Folk,?,,,,
Green Door,1685BZwToL0,A,Rock,150,,,,
Hallelujah (Leonard Cohen key and lyrics),nm5LIf-y4k0,E,Hymn,65,,,,
Hallelujah (Pentatonics. Rufus Wainright Lyrics),Ki-UYXQxVyk,Bb,Hymn,60,,,,
Happy Trails,2UHnm7OGm2Y,?,Country,?,,,Too Much Backup and Harmony,
Have You Ever Seen The Rain,P9UUrX4lwPk,A,Bayou-Rock,115,,,,
Heart of Gold,cXMXlMDFplE,?,Folk-Rock,86,,,,
Helplessly Hoping,iH65wVlpQKQ,G,Rock Ballad,150,,,Lots of Harmony,
Hey Good Lookin,BfAaYsYxEZg,?,Country,?,,,,
Horse With No Name,b9ThlpN_e64,Em,Folk Rock,130,,,,
House of the Rising Sun,uQURAKxc54k,Am,Folk-Rock,78,,,,
I Can Help,56kUHBXXGzs,?,Country Rock,?,,,,
I Cant Help Falling In Love With You,gd4mB-zUcO8,?,Pop Ballad,68,,,,
I Saw The Light,1bF7TCXByJ4,?,Country Hymn,?,,,Recommend increasing the Tempo,
I'll Fly Away,0lGz0-9AqSc,D,Country Hymn,205,,,,
If Tommorw Never Comes,3YpHo_kMHiY,,Country Ballad,78,,,,
If You Could Read My Mind,bC5lAEeADcw,A,Folk-Ballad,127,,,,
Imagine,wshbS_lz1dE,B,Rock Ballad,73,,,,
In the Air Tonight,cXt-gIWPNNE,,Rock,,,,,
Jamaica Farewell,bCx94e_svnQ,E,Carribian,100,,,,
King of the Road,SOtpF4eDnmI,Bb>B,Country,120,,,,
L.A. Freeway,rcGDN1DDWLs,Bb,Country,120,,,Only a partial track (Teaser),
Lean On Me,juBHK0RRG2Y,C,Rock Ballad,150,,,,
Let It Be,dSVovg06NQg,C,Rock Ballad,72,,,,
Little Red Riding Hood,9n3mwU4InlE,Em,Pop-Rock,120,,,,
Lodi,_q6QeHOR5KY,Bb,Country-Rock,126,,,,
Long Black Veil,B3lkz8h5ReE,E,Country,120,,,,
Lost Highway,gJ-MHd7ndWA,G,Country,125,,,With Harmony,
Love Potion Number Nine,JcgZ3ni4fQk,?,Rock,?,,,,
Lyin Eyes,vIo9UcmzHnc,F#?,Country,?,,,,
