TITLE,UTID,KEY,Class,Tempo,start,stop,Notes,notes
Delta,nbbhvNtArm8,A,Blues,88,20,30,|A |% |% |% |% |% |% |% |C |% |A |% |D |C |A |D,
Minor,22mWUkAi0PI,A,Blues,100,10,,|Am |% |% |% |Dm |% |Am |% |F |E7 |Am |E7,
BB / Claption Shuffle,y1ueWz4-Hkk,A,Blues,120,34,,E-A-B,
SLOW BB style,3cmfo2uQ1S0,A,Blues,80,49,,std 12 bar,
SLOW,2aQRF47hJa0,Em,Blues,40,75,,?? |E |Am |Em |% |Am |% |Em |% |Bm |Am |Em |% |,
Shuffle(turn around),1yURXpa0p4M,E,Blues,120,23,,|E7 |% |% |% |A7 |% |E7 |% |B7 |A7 <X1>|E7 ~% ~A ~C7 |E5 ~C7 ~B7 ~%,
Slow Blues,8Ndtx9MG5tQ,A,Blues,80,0,,?,
Slow Complex,8PzyEtQypYA,C,Blues,53,0,,|C9|F9|C9~C#9|C7|F9|F#dim7|C9|C9|G9~%~%~Gb9|F9|C9~F7|C9~G9,
Slow,axTQ3Tg9io8,C,Blues,60,0,,|C |F |C |% |F |% |C |% |G |F |C |G,
Boogie,3DgqJror33Q,C,Boogie,165,0,,12 bar in C,
Boogie,clkybYtD1tw,E,Boogie,190,0,,std 12 bar,
Double Time,VlB4oxkEEu4,C,Country,120,0,,|C |% |% |% |F |% |C |% |G |F |C |G,
Folk,8fi3p5KtOr0,C,Country,122,0,,|C |% |F |% |C |% |G |F |C |% |F |% |Am |G |F |%,
Modern,lF4iVuoyf4Q,C,Country,120,0,,|F|C|G|C|C<br>:C|C|F|C |C|C|D|G |C|C|F|C |C|C|G|C|C:(x?)<br>|F|C|G|C,
Old Style,laQi1_Jc0C4,D,Country,80,0,,D/// I D/// I G/// I G/// I,
Southern Rock,lF6m5xATDyM,E,Country,130,0,,:E|E|A|A  |E|E|B|B |E|E|A|A  |E|E|B|B  |E|E:(x?),
Train Beat,_p0CAN-1k6o,E,Country,130,0,,12 Bar,
Waltz,R24l4dRlmTk,A,Country,76,0,,x,
Country,-ru2vFhsGT0,E,Country,140,0,,(intro) |A | B |E |%<br>|E |% |% |% |A |B |E |% <br>|E |% |% |% |A |B |E |% <br>|A |% |E |% |F#|% |B |%,
FOLK ROCK,BBW6KkmDF74,A,Folk,155,0,,|Am |F  |C  |E  |Am |F  |C  |E  <br>|Am |F  |C  |E  |Am |F  |C  |E  |Am |Am<br>|Am |F  |C  |E  |Am |F  |C  |E  <br>|F  |G  |Am |Am |F  |G  |E  |E <br>|Am |F  |G  |C  |Am |F  |G  |C  <br>|Am |Am |Am |Am |Am |F  |C  |E <br>|Am |F  |C  |E  |Am |F  |G  |C~E|Am |F  |G  |C~E,
Hendrix Style,weSbYy7TzNA,E,Psychedelic,62,0,,Aolean Scale? instructions on video,
12 Bar Bass,wRnLiP9OATs,E,Rock,105,2,,E A B,
ROCK,hTDKxtC_8d0,G,Rock,130,0,,12 Bar,
Rock Feeling,mWOskn9b2tg,B,Rock,120,0,,??,
Bass & Drum,VYVb7DfmwSg,Am,Rock,120,0,,?,
Chuck Berry Fast,uLI-Atz1SoM,A,Rock,172,0,,|A |% |% |% |D |% |A |% |E |D |A |E,
Drums Straight,zZbM9n9j3_g,-,Drums,100
Nice Blues,GjmirMFiYIs,Em,Misc,90,0,,|Verse(2)<br>|Em  |Csus2 |Em  |Csus2<br>|Em  |Csus2 |G   |B7<br>Chorus(2)<br>|C    |D   |Em   |Em~~~D<br>|C    |D   |Em   |Em~~~D<br>|C    |D   |Em   |Am<br>|C    |D   |B7   |B7
