TITLE,UTID,KEY,Class,Tempo,start,stop,Notes,notes
Straight,SO79x_vOS6o,-,Drums,40,,,,
Straight,4y7u1FtMCdk,-,Drums,50,,,,
Straight,aQoUfeRawX8,-,Drums,60,,,,
Straight,4SDBJp_B5qQ,-,Drums,70,,,,
Straight,uH1MrhJZ2NA,-,Drums,80,,,,
Straight,9U3RG0JU4Ds,-,Drums,90,,,,
Straight,zZbM9n9j3_g,-,Drums,100,,,,
Straight,CrDc_TsmYLI,-,Drums,110,,,,
Straight,HTmKgbT3PFA,-,Drums,120,,,,
Straight,ov_g-r7Vo8M,-,Drums,130,,,,
Straight,2vhnxYfWco8,-,Drums,140,,,,
Straight,pSlVtxLOYiM,-,Drums,150,,,,
Straight,4wEilxoIGtg,-,Drums,160,,,,
Straight,dx5YI_mRXlo,-,Drums,180,,,,
Straight,ETwlAAKKXGA,-,Drums,190,,,,
Straight,IZi3vMmmMoA,-,Drums,200,,,,
Rock,KNu9h4MA32Q,-,Drums,80,,,,
Rock,6mp_cMNIYVs,-,Drums,90,,,,
Rock,Opo9pvbqs18,-,Drums,100,,,,
Rock,i9KN01gLxL4,-,Drums,110,,,,
Rock,8ceiFrrHlbI,-,Drums,120,,,,
Rock,1SuvnLSl9m0,-,Drums,130,,,,
Rock,iGWbIsaooXI,-,Drums,140,,,,
Country Train,n1_1NjQSAQI,-,Drums,70,,,,
Country Train,4mqZPb9UUgs,-,Drums,80,,,,
Country Train,AH2XRnMGmTg,-,Drums,90,,,,
Country Train,B2w2qbD_dQ8,-,Drums,100,,,,
Country Train,vSd3iwSSBlA,-,Drums,110,,,,
Country Train,8QMG7WlmMvo,-,Drums,120,,,,
Country Train,2W8_zPdpgLQ,-,Drums,130,,,,
Country Train,WXzoRbfL6fA,-,Drums,140,,,,
Bossa Nova,TCLjku4E8MY,-,Drums,90,,,,
Bossa Nova,stAQk5NfpPU,-,Drums,100,,,,
Bossa Nova,TCLjku4E8MY,-,Drums,110,,,,
Bossa Nova,siO4V6bWzIM,-,Drums,120,,,,
Bossa Nova,8otB_LGjgPg,-,Drums,130,,,,
Bossa Nova,x_JMfOdxT3k,-,Drums,138,,,,
Mambo,x_JMfOdxT3k,-,Drums,140,,,,
